FirmaID,UrunTID,Miktar,AlimSayisi
713,132640,4000,1
713,132642,2200,1
3008,132645,2520,1
4586,132649,2450,1
713,132655,1450,1
2027,132664,2600,1
2027,132677,17200,3
5311,132677,1100,1
2027,132681,950,1
5096,132707,700,1
5096,132708,700,1
5096,132709,700,1
7091,132718,5000,1
7094,132749,2500,1
9151,132801,1000,1
7749,132805,5800,1
7749,132812,5350,1
7749,132813,5500,1
7749,132816,5800,1
897,132825,17342,1
974,132879,3000,1
2842,132926,1200,1
10114,132926,1000,1
5012,133105,19500,1
10114,133146,500,1
1677,133152,1300,1
1677,133154,1300,1
666,133159,900,1
974,133183,750,1
974,133184,750,1
7094,133302,650,1
7228,133314,2200,1
897,133351,18170,2
39,133383,1200,1
7094,133418,2200,1
7530,133425,1000,1
7721,133434,750,1
7721,133437,750,1
5871,133439,1680,1
2537,133482,1000,1
5336,133519,1000,1
5336,133521,1000,1
5336,133527,1000,1
5336,133533,1000,1
5336,133535,1000,1
5336,133538,1500,1
5336,133540,1000,1
5336,133543,1000,1
5336,133544,1000,1
5336,133553,1000,1
5336,133555,1500,1
6567,133586,700,1
6567,133588,1000,1
6567,133590,1000,1
6567,133593,800,1
6567,133597,800,1
6567,133601,800,1
6567,133603,1000,1
734,133612,500,1
9163,133612,500,1
8179,133694,800,1
8179,133707,800,1
8179,133708,1400,1
8540,133711,2100,1
5798,133777,5050,3
6798,133789,2200,1
734,133806,1400,1
4775,133860,3300,1
4775,133863,1100,1
4775,133865,2550,1
4775,133867,2200,1
8816,133904,2040,1
8816,133909,2015,1
4433,133923,850,1
5871,133930,600,1
7094,134017,700,1
7094,134019,1500,1
7094,134020,1700,1
3082,134182,1500,1
713,134201,1750,1
5096,134203,1000,1
5096,134205,1000,1
6432,134209,1900,1
8759,134244,1000,1
7228,134296,4250,2
5871,134394,3320,2
9206,134403,850,1
6567,134409,1200,1
6567,134411,800,1
6567,134413,700,1
6567,134414,700,1
6567,134415,500,1
6567,134416,900,1
6567,134417,900,1
6567,134420,900,1
6567,134424,700,1
6567,134429,1000,1
5333,134457,5300,2
